kind	class	method	param	index	uri	field
METHOD	org.springframework.transaction.jta.JtaTransactionManager	setJndiTemplate(org.springframework.jndi.JndiTemplate)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/jta/JtaTransactionManager.java	jndiTemplate
METHOD	org.springframework.transaction.jta.JtaTransactionManager	setJndiEnvironment(java.util.Properties)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/jta/JtaTransactionManager.java	jndiTemplate
METHOD	org.springframework.transaction.jta.JtaTransactionManager	readObject(java.io.ObjectInputStream)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/jta/JtaTransactionManager.java	jndiTemplate
METHOD	org.springframework.transaction.support.AbstractPlatformTransactionManager	setTransactionExecutionListeners(java.util.Collection)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java	transactionExecutionListeners
METHOD	org.springframework.transaction.support.AbstractPlatformTransactionManager	readObject(java.io.ObjectInputStream)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java	logger
METHOD	org.springframework.transaction.reactive.AbstractReactiveTransactionManager	setTransactionExecutionListeners(java.util.Collection)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/AbstractReactiveTransactionManager.java	transactionExecutionListeners
METHOD	org.springframework.transaction.reactive.AbstractReactiveTransactionManager	readObject(java.io.ObjectInputStream)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/reactive/AbstractReactiveTransactionManager.java	logger
METHOD	org.springframework.transaction.interceptor.DefaultTransactionAttribute	setLabels(java.util.Collection)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/interceptor/DefaultTransactionAttribute.java	labels
METHOD	org.springframework.transaction.event.TransactionalApplicationListenerAdapter	setTransactionPhase(org.springframework.transaction.event.TransactionPhase)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerAdapter.java	transactionPhase
METHOD	org.springframework.transaction.event.TransactionalApplicationListenerAdapter	setListenerId(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerAdapter.java	listenerId
METHOD	org.springframework.transaction.interceptor.MatchAlwaysTransactionAttributeSource	setTransactionAttribute(org.springframework.transaction.interceptor.TransactionAttribute)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/interceptor/MatchAlwaysTransactionAttributeSource.java	transactionAttribute
METHOD	org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor	setRepositoryAnnotationType(java.lang.Class)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-tx/src/main/java/org/springframework/dao/annotation/PersistenceExceptionTranslationPostProcessor.java	repositoryAnnotationType
