kind	class	method	param	index	uri	field
METHOD	org.springframework.expression.spel.standard.InternalSpelExpressionParser	doParseExpression(java.lang.String,org.springframework.expression.ParserContext)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/standard/InternalSpelExpressionParser.java	expressionString
METHOD	org.springframework.expression.spel.standard.InternalSpelExpressionParser	doParseExpression(java.lang.String,org.springframework.expression.ParserContext)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/standard/InternalSpelExpressionParser.java	tokenStream
METHOD	org.springframework.expression.spel.support.StandardEvaluationContext	setRootObject(java.lang.Object,org.springframework.core.convert.TypeDescriptor)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/StandardEvaluationContext.java	rootObject
METHOD	org.springframework.expression.spel.support.StandardEvaluationContext	setRootObject(java.lang.Object)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/StandardEvaluationContext.java	rootObject
METHOD	org.springframework.expression.spel.support.StandardEvaluationContext	setTypeComparator(org.springframework.expression.TypeComparator)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/StandardEvaluationContext.java	typeComparator
METHOD	org.springframework.expression.spel.support.StandardEvaluationContext	setOperatorOverloader(org.springframework.expression.OperatorOverloader)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/StandardEvaluationContext.java	operatorOverloader
METHOD	org.springframework.expression.spel.support.SimpleEvaluationContext$Builder	withMethodResolvers(org.springframework.expression.MethodResolver[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/SimpleEvaluationContext.java	resolvers
METHOD	org.springframework.expression.spel.support.SimpleEvaluationContext$Builder	withInstanceMethods()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/SimpleEvaluationContext.java	resolvers
