kind	class	method	param	index	uri	field
METHOD	org.springframework.oxm.jaxb.Jaxb2Marshaller	setSchemaLanguage(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java	schemaLanguage
METHOD	org.springframework.oxm.xstream.XStreamMarshaller	setConverterLookup(com.thoughtworks.xstream.converters.ConverterLookup)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java	converterLookup
METHOD	org.springframework.oxm.xstream.XStreamMarshaller	setConverterRegistry(com.thoughtworks.xstream.converters.ConverterRegistry)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java	converterRegistry
METHOD	org.springframework.oxm.xstream.XStreamMarshaller	setEncoding(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java	encoding
METHOD	org.springframework.oxm.xstream.XStreamMarshaller	setNameCoder(com.thoughtworks.xstream.io.naming.NameCoder)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java	nameCoder
