kind	class	method	param	index	uri	field
METHOD	org.springframework.aop.framework.JdkDynamicAopProxy	readObject(java.io.ObjectInputStream)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/JdkDynamicAopProxy.java	cache
METHOD	org.springframework.aop.framework.AdvisedSupport	setTargetSource(org.springframework.aop.TargetSource)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	targetSource
METHOD	org.springframework.aop.framework.AdvisedSupport	setTargetClass(java.lang.Class)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	targetSource
METHOD	org.springframework.aop.framework.AdvisedSupport	setAdvisorChainFactory(org.springframework.aop.framework.AdvisorChainFactory)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	advisorChainFactory
METHOD	org.springframework.aop.framework.AdvisedSupport	copyConfigurationFrom(org.springframework.aop.framework.AdvisedSupport,org.springframework.aop.TargetSource,java.util.List)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	targetSource
METHOD	org.springframework.aop.framework.AdvisedSupport	copyConfigurationFrom(org.springframework.aop.framework.AdvisedSupport,org.springframework.aop.TargetSource,java.util.List)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	advisorChainFactory
METHOD	org.springframework.aop.framework.AdvisedSupport	copyConfigurationFrom(org.springframework.aop.framework.AdvisedSupport,org.springframework.aop.TargetSource,java.util.List)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	interfaces
METHOD	org.springframework.aop.framework.AdvisedSupport	getConfigurationOnlyCopy()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	advisors
METHOD	org.springframework.aop.framework.AdvisedSupport	reduceToAdvisorKey()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AdvisedSupport.java	advisors
METHOD	org.springframework.aop.framework.ProxyCreatorSupport	setAopProxyFactory(org.springframework.aop.framework.AopProxyFactory)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/ProxyCreatorSupport.java	aopProxyFactory
METHOD	org.springframework.aop.framework.AbstractSingletonProxyFactoryBean	setAdvisorAdapterRegistry(org.springframework.aop.framework.adapter.AdvisorAdapterRegistry)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AbstractSingletonProxyFactoryBean.java	advisorAdapterRegistry
METHOD	org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator	setAdvisorAdapterRegistry(org.springframework.aop.framework.adapter.AdvisorAdapterRegistry)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/AbstractAutoProxyCreator.java	advisorAdapterRegistry
