id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	org.springframework.jms.IllegalStateException	IllegalStateException(jakarta.jms.IllegalStateException)	0	[false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/IllegalStateException.java
2	org.springframework.jms.JmsException	JmsException(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/JmsException.java
3	org.springframework.jms.JmsException	JmsException(java.lang.String,java.lang.Throwable)	0	[false, true]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/JmsException.java
4	org.springframework.jms.JmsException	JmsException(java.lang.Throwable)	0	[true]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/JmsException.java
5	org.springframework.jms.JmsException	getErrorCode()	0	[]	org.springframework.lang.Nullable	public	true	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/JmsException.java
6	org.springframework.jms.JmsException	getMessage()	7	[]	java.lang.Override,org.springframework.lang.Nullable	public	true	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/JmsException.java
8	org.springframework.jms.UncategorizedJmsException	UncategorizedJmsException(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/UncategorizedJmsException.java
9	org.springframework.jms.UncategorizedJmsException	UncategorizedJmsException(java.lang.String,java.lang.Throwable)	0	[false, false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/UncategorizedJmsException.java
10	org.springframework.jms.UncategorizedJmsException	UncategorizedJmsException(java.lang.Throwable)	0	[false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/UncategorizedJmsException.java
11	org.springframework.jms.InvalidSelectorException	InvalidSelectorException(jakarta.jms.InvalidSelectorException)	0	[false]		public	false	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/InvalidSelectorException.java
